平成30年4月分（5月納付分）からの健康保険・厚生年金保険の保険料額表,,,,,,,,,,
,,,,,,,,,,
,・健康保険料率：平成30年3月分～　適用　　　・厚生年金保険料率：平成29年9月分～　適用,,,,,,,,,
,・介護保険料率：平成30年3月分～　適用　　　・子ども・子育て拠出金率：平成30年4月分～　適用,,,,,,,,,
,,,,,,,,,,
（東京都）,,,,,,,,,,（単位：円）
標  準  報  酬,,報  酬  月  額,,,全国健康保険協会管掌健康保険料,,,,厚生年金保険料（厚生年金基金加入員を除く）,
,,,,,"介護保険第２号被保険者
に該当しない場合",,"介護保険第２号被保険者
に該当する場合",,一般、坑内員・船員,
等級,月  額,,,,9.90%,,11.47%,,18.300%※,
,,,,,全  額,折半額,全  額,折半額,全  額,折半額
,,円以上,,円未満,,,,,,
1,"58,000",,～,"63,000","5,742.0","2,871.0","6,652.6","3,326.3",,
2,"68,000","63,000",～,"73,000","6,732.0","3,366.0","7,799.6","3,899.8",,
3,"78,000","73,000",～,"83,000","7,722.0","3,861.0","8,946.6","4,473.3",,
4（1）,"88,000","83,000",～,"93,000","8,712.0","4,356.0","10,093.6","5,046.8","16,104.00","8,052.00"
5（2）,"98,000","93,000",～,"101,000","9,702.0","4,851.0","11,240.6","5,620.3","17,934.00","8,967.00"
6（3）,"104,000","101,000",～,"107,000","10,296.0","5,148.0","11,928.8","5,964.4","19,032.00","9,516.00"
7（4）,"110,000","107,000",～,"114,000","10,890.0","5,445.0","12,617.0","6,308.5","20,130.00","10,065.00"
8（5）,"118,000","114,000",～,"122,000","11,682.0","5,841.0","13,534.6","6,767.3","21,594.00","10,797.00"
9（6）,"126,000","122,000",～,"130,000","12,474.0","6,237.0","14,452.2","7,226.1","23,058.00","11,529.00"
10（7）,"134,000","130,000",～,"138,000","13,266.0","6,633.0","15,369.8","7,684.9","24,522.00","12,261.00"
11（8）,"142,000","138,000",～,"146,000","14,058.0","7,029.0","16,287.4","8,143.7","25,986.00","12,993.00"
12（9）,"150,000","146,000",～,"155,000","14,850.0","7,425.0","17,205.0","8,602.5","27,450.00","13,725.00"
13（10）,"160,000","155,000",～,"165,000","15,840.0","7,920.0","18,352.0","9,176.0","29,280.00","14,640.00"
14（11）,"170,000","165,000",～,"175,000","16,830.0","8,415.0","19,499.0","9,749.5","31,110.00","15,555.00"
15（12）,"180,000","175,000",～,"185,000","17,820.0","8,910.0","20,646.0","10,323.0","32,940.00","16,470.00"
16（13）,"190,000","185,000",～,"195,000","18,810.0","9,405.0","21,793.0","10,896.5","34,770.00","17,385.00"
17（14）,"200,000","195,000",～,"210,000","19,800.0","9,900.0","22,940.0","11,470.0","36,600.00","18,300.00"
18（15）,"220,000","210,000",～,"230,000","21,780.0","10,890.0","25,234.0","12,617.0","40,260.00","20,130.00"
19（16）,"240,000","230,000",～,"250,000","23,760.0","11,880.0","27,528.0","13,764.0","43,920.00","21,960.00"
